id,ra_deg,dec_deg,x,y,in_fov,major_arcsec,minor_arcsec,a_pix,b_pix,used
79,114.18208333333331,65.69088888888889,1066.776956193793,1335.0069581429557,True,146.0,102.19999999999999,72.99999823340005,51.09999876338002,True
80,114.18291666666666,65.62005555555555,1062.8945129693418,1080.0336404676411,True,,,,,False
81,114.18458333333332,65.61391666666665,1060.1878919262517,1057.9605865053481,True,44.0,30.799999999999997,21.999999467600013,15.399999627320007,True
82,114.19208333333331,65.63444444444445,1049.81869802286,1131.973188038359,True,26.0,23.400000000000002,12.999999685400008,11.699999716860008,True
83,114.19666666666664,65.6086111111111,1042.0259809046524,1039.0503376834408,True,22.0,11.0,10.999999733800006,5.499999866900003,True
84,114.2008333333333,65.53858333333334,1033.1425531349719,787.0306144323124,True,13.0,7.8,6.499999842700004,3.8999999056200023,True
85,114.20124999999999,65.58108333333332,1034.1546031924893,940.02847243782,True,65.0,58.5,32.49999921350002,29.24999929215002,True
86,114.20124999999999,65.57441666666666,1033.8984254983725,916.0298428918785,True,66.0,52.800000000000004,32.99999920140002,26.399999361120017,True
87,114.20541666666664,65.68105555555556,1031.8193001227826,1299.9740165204087,True,68.0,61.2,33.99999917720002,30.59999925948002,True
88,114.20624999999998,65.64133333333334,1029.046175769128,1156.9956387034063,True,86.0,60.199999999999996,42.999998959400024,30.099999271580014,True
89,114.20833333333331,65.58938888888889,1023.9359011290271,970.0398478893658,True,9.0,7.2,4.4999998911000025,3.599999912880002,True
90,114.21083333333331,65.58269444444444,1019.9557454381707,945.9814564440644,True,25.0,22.5,12.499999697500007,11.249999727750007,True
91,114.21374999999998,65.45686111111111,1010.6902018084535,493.05592094709857,True,39.0,35.1,19.499999528100012,17.549999575290013,True
92,114.21416666666666,65.5068611111111,1012.025435117861,673.0516233327087,True,31.0,21.7,15.49999962490001,10.849999737430005,True
93,114.21458333333331,65.67852777777779,1018.1311147196709,1291.0215132170206,True,,,,,False
94,114.21583333333332,65.62380555555555,1014.1294174965232,1094.053500838689,True,171.0,102.6,85.49999793090005,51.29999875854003,True
95,114.21833333333332,65.49294444444445,1005.258675339115,623.0225710844195,True,32.0,22.4,15.999999612800009,11.199999728960005,True
96,114.22416666666665,65.53569444444445,998.2470544483687,777.008747515142,True,151.0,105.69999999999999,75.49999817290005,52.849998721030026,True
97,114.22458333333331,65.56875,998.9402342384861,896.0082941204275,True,52.0,36.4,25.999999370800015,18.19999955956001,True
98,114.22958333333332,65.57733333333333,991.8396133084159,926.9888998719741,True,56.0,28.0,27.999999322400015,13.999999661200007,True
99,114.22999999999998,65.49816666666666,988.0471719921144,642.0136790938366,True,,,,,False
100,114.23041666666664,65.589,991.0670738532312,969.000097696003,True,62.0,43.4,30.99999924980002,21.69999947486001,True
101,114.24166666666665,65.60116666666666,974.8259773039993,1012.985207154034,True,,,,,False
102,114.24374999999999,65.662,974.2136069788195,1232.006172431497,True,8.0,6.4,3.999999903200002,3.199999922560002,True
103,114.24416666666664,65.66477777777779,973.7090329028456,1242.012540106634,True,73.0,51.099999999999994,36.499999116700025,25.54999938169001,True
104,114.24583333333331,65.61697222222222,969.2777625982949,1069.9518441755406,True,59.0,53.1,29.499999286100017,26.549999357490016,True
105,114.24916666666664,65.46808333333334,958.1947419331307,534.0438879072829,True,88.0,70.4,43.999998935200026,35.199999148160025,True
106,114.25208333333332,65.59416666666667,959.0469187827618,987.963451085296,True,152.0,136.8,75.99999816080005,68.39999834472005,True
107,114.25333333333332,65.66027777777778,959.9251262634451,1225.969037445257,True,113.0,101.7,56.499998632700034,50.84999876943003,True
